Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Acrocephalus agricola,Acrocephalidae,Passeriformes,9.6,Wetland,3,Carnivore,Invertivore,3,Insessorial,13.58,7.775,3.2,2.82,21.08,18.4,54.9
Acrocephalus arundinaceus,Acrocephalidae,Passeriformes,30,Wetland,3,Carnivore,Invertivore,3,Insessorial,23,12.825,4.71,5.380000000000001,28.12,28.58076923076923,80.8
Acrocephalus atyphus,Acrocephalidae,Passeriformes,30,Shrubland,3,Carnivore,Invertivore,1,Insessorial,26.7,14.9875,4.720000000000001,4.92,28.1,18.6,78.2
Acrocephalus australis,Acrocephalidae,Passeriformes,17.7,Wetland,3,Carnivore,Invertivore,3,Insessorial,19.80625,10.587499999999999,3.8125,4.01875,23.8,22.8875,67.1125
Acrocephalus baeticatus,Acrocephalidae,Passeriformes,12.3,Wetland,3,Carnivore,Invertivore,3,Insessorial,19.490000000000002,8.6125,3,2.8899999999999997,20.509999999999998,18.2125,49.2
Acrocephalus bistrigiceps,Acrocephalidae,Passeriformes,8.7,Wetland,3,Carnivore,Invertivore,3,Insessorial,13.39,7.7,3.02,2.6,20.1,21.8875,50.4
Acrocephalus brevipennis,Acrocephalidae,Passeriformes,16,Shrubland,2,Carnivore,Invertivore,1,Insessorial,19.291666666666664,11.891666666666666,4,3.5083333333333333,26.316666666666666,16.016666666666666,61.5
Acrocephalus caffer,Acrocephalidae,Passeriformes,43.8,Forest,2,Carnivore,Invertivore,1,Insessorial,33.1,19.016666666666666,5,5.1,30.683333333333334,17.883333333333333,81.81666666666666
Acrocephalus concinens,Acrocephalidae,Passeriformes,8.3,Wetland,2,Carnivore,Invertivore,2,Insessorial,13.68,8,3.31,2.9,22.02,17.5875,56
Acrocephalus dumetorum,Acrocephalidae,Passeriformes,11.2,Wetland,2,Carnivore,Invertivore,3,Insessorial,16.41,9.175,3.62,3.08,22.29,20.394444444444446,53.1
Acrocephalus familiaris,Acrocephalidae,Passeriformes,18.3,Shrubland,3,Carnivore,Invertivore,1,Insessorial,17.1,9.575,3.4,3.5,21.375,15.100000000000001,56.5
Acrocephalus gracilirostris,Acrocephalidae,Passeriformes,14.4,Wetland,3,Carnivore,Invertivore,1,Insessorial,17.82,9.9,3.51,3.51,23.48,12.6,59.3
Acrocephalus griseldis,Acrocephalidae,Passeriformes,16.7,Wetland,3,Carnivore,Invertivore,3,Insessorial,21.189999999999998,12.912500000000001,4,3.8,24.18,29.2125,64
Acrocephalus hiwae,Acrocephalidae,Passeriformes,35.6,Wetland,2,Carnivore,Invertivore,1,Terrestrial,35.625,20.9,5.1,4.9,30.3,17.775,81.5
Acrocephalus kerearako,Acrocephalidae,Passeriformes,22.5,Forest,2,Carnivore,Invertivore,1,Insessorial,21.3,11.7,4.4,4.2,27.2,18.1,77
Acrocephalus longirostris,Acrocephalidae,Passeriformes,43.8,Forest,2,Carnivore,Invertivore,1,Insessorial,33.1,19,5,5.1,30.7,17.9,81.8
Acrocephalus melanopogon,Acrocephalidae,Passeriformes,10.9,Wetland,3,Carnivore,Invertivore,3,Insessorial,12.69,7.2125,2.59,2.49,19,19.28333333333333,47.8
Acrocephalus mendanae,Acrocephalidae,Passeriformes,36.3,Shrubland,2,Carnivore,Invertivore,1,Insessorial,30.409999999999997,18.625,5.08,5.08,30.18,19.7875,86.8
Acrocephalus newtoni,Acrocephalidae,Passeriformes,17,Wetland,3,Carnivore,Invertivore,1,Insessorial,18.090000000000003,10.325,3.7,3.6,25.59,14.925,76.2
Acrocephalus orientalis,Acrocephalidae,Passeriformes,23.5,Wetland,3,Carnivore,Invertivore,3,Insessorial,20.82,12.925,4.574999999999999,4.8100000000000005,26.5,20.9,69.2
Acrocephalus orinus,Acrocephalidae,Passeriformes,24.2,Wetland,3,Carnivore,Invertivore,3,Insessorial,16.8,9.6125,3.975,3.1166666666666667,21.775,20.2875,55.3875
Acrocephalus paludicola,Acrocephalidae,Passeriformes,11.6,Wetland,3,Carnivore,Invertivore,3,Insessorial,12.3125,7.025,2.625,2.8875,19.3875,28.419999999999998,47.225
Acrocephalus palustris,Acrocephalidae,Passeriformes,11.5,Shrubland,3,Carnivore,Invertivore,3,Insessorial,16.094444444444445,8.225,3.3,3.28,21.322222222222223,27.9,56.5
Acrocephalus percernis,Acrocephalidae,Passeriformes,31.2,Shrubland,2,Carnivore,Invertivore,1,Insessorial,29.6875,17.6125,4.9875,5.199999999999999,30.0875,18.9,92.5
Acrocephalus rehsei,Acrocephalidae,Passeriformes,20.1,Forest,2,Carnivore,Invertivore,1,Insessorial,21.2,12,4.2,3.8,27.9,13.8,66
Acrocephalus rimitarae,Acrocephalidae,Passeriformes,26.5,Wetland,1,Carnivore,Invertivore,1,Insessorial,24.6,13.6,4.2,4.1,29.4,16.7,85
Acrocephalus rodericanus,Acrocephalidae,Passeriformes,11.8,Shrubland,2,Carnivore,Invertivore,1,Insessorial,17.71666666666667,10.283333333333335,3.2125000000000004,2.9124999999999996,23.1,16.9125,74.3875
