Group,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Mainland,Coereba,flaveola,luteola,36120,,N,COLOMBIA,,,,,NA,52.24,43.6,8.64,16.53905054,18.57,33.26,3.48,3.34,11.22,Brynn
Mainland,Coereba,flaveola,luteola,36121,,N,COLOMBIA,,,,,NA,58.06,47.43,10.63,18.30864623,17.13,34.54,3.24,3.19,13.34,Brynn
Mainland,Coereba,flaveola,luteola,9229,,N,COLOMBIA,,,,,NA,56.92,45.99,10.93,19.20238932,18.28,36.15,2.93,3.21,10.87,Brynn
Island,Coereba,flaveola,luteola,42637,,Y,TRINIDAD & TOBAGO,,,,,10.1,60.55,50.52,10.03,16.56482246,16.79,31.89,3.15,3.76,13,Brynn
Island,Coereba,flaveola,bahamensis,30690,,N,BAHAMAS,,,,F,NA,60.69,50.16,10.53,17.3504696,19.02,43.36,3.53,3.81,12.98,Mia
Island,Coereba,flaveola,luteola,42586,,Y,TRINIDAD & TOBAGO,,,,,9.3,51.53,43.19,8.34,16.18474675,16.82,32.45,3.12,3.2,12.87,Brynn
Island,Coereba,flaveola,bahamensis,14319,,N,BAHAMAS,,,,M,NA,64.35,45.74,18.61,28.91996892,17.88,40.24,3.17,3.56,12.21,Mia
Island,Coereba,flaveola,luteola,46427,,Y,TRINIDAD & TOBAGO,,,,,10.25,52.55,42.52,10.03,19.08658421,15.02,31.45,3.27,3.25,13.24,Brynn
Island,Coereba,flaveola,luteola,46369,,Y,TRINIDAD & TOBAGO,,,,,10.8,60.24,51.04,9.2,15.27224436,14.71,33.85,3.21,3.4,12.9,Brynn
Island,Coereba,flaveola,bahamensis,41211,,N,BAHAMAS,,,,M,8.3,63.23,49.3,13.93,22.03068164,18.71,42.96,3.78,4.19,13.98,Mia
Island,Coereba,flaveola,luteola,46370,,Y,TRINIDAD & TOBAGO,,,,,11.95,61.93,52.04,9.89,15.96964315,17.11,30.89,3.25,3.45,13,Brynn
Island,Coereba,flaveola,luteola,45977,,Y,TRINIDAD & TOBAGO,,,,,11.8,61.41,50.28,11.13,18.12408403,15.98,41.36,3.17,3.46,12.31,Brynn
Island,Coereba,flaveola,bahamensis,41212,,Y,BAHAMAS,,,,F,10.8,61.07,44.33,16.74,27.41116751,20.55,42.82,3.98,3.84,13.59,Mia
Island,Coereba,flaveola,luteola,45866,,Y,TRINIDAD & TOBAGO,,,,,10.4,56.05,44.63,11.42,20.37466548,16.69,32.96,3.05,3.43,12.28,Brynn
Island,Coereba,flaveola,bahamensis,8928,,N,BAHAMAS,,,,M,NA,66.34,53.75,12.59,18.97799216,18.56,51.43,3.38,4.07,13.65,Mia
Island,Coereba,flaveola,bahamensis,9230,,N,BAHAMAS,,,,F,NA,59.99,49.77,10.22,17.0361727,16.71,43.18,3.46,4.16,13.27,Mia
Island,Coereba,flaveola,luteola,46461,,Y,TRINIDAD & TOBAGO,,,,,11.15,56.16,46.33,9.83,17.50356125,16.46,39.85,3.26,3.59,12.36,Brynn
Island,Coereba,flaveola,luteola,46511,,Y,TRINIDAD & TOBAGO,,,,,10,51.4,42.1,9.3,18.09338521,15.48,35.39,3.03,3.48,11.81,Brynn
Island,Coereba,flaveola,bahamensis,10214,,N,BAHAMAS,,,,F,NA,54.57,44.16,10.41,19.07641561,18.58,37.12,2.96,,14,Mia
Island,Coereba,flaveola,portoricensis,9232,,N,PUERTO RICO,,,,,NA,61.3,49.13,12.17,19.85318108,16.58,44.15,3.14,3.55,13.85,Brynn
Island,Coereba,flaveola,bahamensis,40114,,Y,TURKS & CAICOS ISLANDS,,,,F,7.8,58.69,46.4,12.29,20.94053501,19.1,34,3.44,3.84,14.71,Mia
Island,Coereba,flaveola,portoricensis,4231,,N,PUERTO RICO,,,,,NA,61.27,54.09,7.18,11.71862249,15.84,47.04,3.17,NA,14.72,Brynn
Island,Coereba,flaveola,bahamensis,40117,,Y,TURKS & CAICOS ISLANDS,,,,M,9.1,65.26,53.19,12.07,18.49524977,17.81,37.95,3.01,3.7,14.34,Mia
Island,Coereba,flaveola,portoricensis,30694,,N,PUERTO RICO,,,,,NA,57.93,48.5,9.43,16.27826687,17.43,45.64,3.09,3.69,14.62,Brynn
Island,Coereba,flaveola,flaveola,18148,,N,JAMAICA,,,,M,7.7,60.18,43.93,16.25,27.00232635,17.47,41.26,3.01,3.87,12.45,Mia
Island,Coereba,flaveola,bananivora,30691,,N,DOMINICAN REPUBLIC,,,,,8.4,57.04,49.25,7.79,13.65708275,14.93,41.04,2.87,3.35,12.28,Brynn
Island,Coereba,flaveola,flaveola,11225,,N,JAMAICA,,,,M,NA,59.37,47.08,12.29,20.70069058,16.26,41.78,3.25,3.97,12.07,Mia
Island,Coereba,flaveola,bananivora,52056,,Y,DOMINICAN REPUBLIC,,,,,7.3,55.35,45.48,9.87,17.83197832,15.56,41.59,2.38,3.09,11.86,Brynn
Island,Coereba,flaveola,flaveola,36113,,N,JAMAICA,,,,M,NA,56.43,47.41,9.02,15.98440546,16.68,38.9,3.26,3.7,11.92,Mia
Island,Coereba,flaveola,bananivora,8045,,N,HAITI,,,,,NA,62.18,52.11,10.07,16.19491798,17.14,39.73,2.97,3.18,11.34,Brynn
Island,Coereba,flaveola,flaveola,40113,,Y,JAMAICA,,,,M,NA,54.95,47.96,6.99,12.72065514,,,,,,Mia
Island,Coereba,flaveola,bananivora,21048,,N,HAITI,,,,,NA,50.19,43.68,6.51,12.9707113,15.14,29.58,2.54,2.97,10.26,Brynn
Island,Coereba,flaveola,flaveola,50059,,Y,JAMAICA,,,,M,10.1,63.34,51.76,11.58,18.28228608,,,,,,Mia
Mainland,Euphonia,affinis,,5030,,Y,"HONDURAS, MORAZAN",,,,,NA,51.47,41.88,9.59,18.63221294,11.47,37.54,3.28,3.76,6.63,Brynn
